"Date","EventId","Provider","Hint","Summary","Message"
"10/2/2025 3:04:09 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T07:04:09.824961600Z from ‎2025‎-‎10‎-‎02T07:04:09.824635200Z.","The system time has changed to ‎2025‎-‎10‎-‎02T07:04:09.824961600Z from ‎2025‎-‎10‎-‎02T07:04:09.824635200Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T03:04:09.824961600Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 3:04:10 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 3:04:10 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 92 to 93.","The system session has transitioned from 92 to 93.

Reason 16777220 

BootId: 23"
"10/2/2025 3:04:10 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 3:07:17 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 93 to 94.","The system session has transitioned from 93 to 94.

Reason PolicyChange 

BootId: 23"
"10/2/2025 3:07:17 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 3:07:17 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T07:07:17.774884400Z from ‎2025‎-‎10‎-‎02T07:07:17.774859500Z.","The system time has changed to ‎2025‎-‎10‎-‎02T07:07:17.774884400Z from ‎2025‎-‎10‎-‎02T07:07:17.774859500Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T03:07:17.774884400Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 3:07:18 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 3:07:18 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 94 to 95.","The system session has transitioned from 94 to 95.

Reason 16777220 

BootId: 23"
"10/2/2025 3:07:18 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 4:07:33 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 95 to 96.","The system session has transitioned from 95 to 96.

Reason PolicyChange 

BootId: 23"
"10/2/2025 4:07:33 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 4:07:33 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T08:07:33.664913100Z from ‎2025‎-‎10‎-‎02T08:07:33.664330900Z.","The system time has changed to ‎2025‎-‎10‎-‎02T08:07:33.664913100Z from ‎2025‎-‎10‎-‎02T08:07:33.664330900Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T04:07:33.664913100Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 4:07:34 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 4:07:34 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 96 to 97.","The system session has transitioned from 96 to 97.

Reason 16777220 

BootId: 23"
"10/2/2025 4:07:34 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 4:11:47 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 97 to 98.","The system session has transitioned from 97 to 98.

Reason PolicyChange 

BootId: 23"
"10/2/2025 4:11:47 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 4:11:47 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T08:11:47.220985400Z from ‎2025‎-‎10‎-‎02T08:11:47.220835100Z.","The system time has changed to ‎2025‎-‎10‎-‎02T08:11:47.220985400Z from ‎2025‎-‎10‎-‎02T08:11:47.220835100Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T04:11:47.220985400Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 4:11:47 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 4:11:47 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 98 to 99.","The system session has transitioned from 98 to 99.

Reason 16777220 

BootId: 23"
"10/2/2025 4:11:47 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 5:15:20 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 99 to 100.","The system session has transitioned from 99 to 100.

Reason PolicyChange 

BootId: 23"
"10/2/2025 5:15:20 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 5:15:20 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T09:15:20.407849100Z from ‎2025‎-‎10‎-‎02T09:15:20.407752300Z.","The system time has changed to ‎2025‎-‎10‎-‎02T09:15:20.407849100Z from ‎2025‎-‎10‎-‎02T09:15:20.407752300Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T05:15:20.407849100Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 6:15:52 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 6:15:52 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 100 to 101.","The system session has transitioned from 100 to 101.

Reason 16777220 

BootId: 23"
"10/2/2025 6:15:52 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 6:15:52 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 6:15:52 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T10:15:52.479241500Z from ‎2025‎-‎10‎-‎02T10:15:52.478695700Z.","The system time has changed to ‎2025‎-‎10‎-‎02T10:15:52.479241500Z from ‎2025‎-‎10‎-‎02T10:15:52.478695700Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T06:15:52.479241500Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 7:36:29 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 101 to 102.","The system session has transitioned from 101 to 102.

Reason PolicyChange 

BootId: 23"
"10/2/2025 7:36:29 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 7:36:29 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T11:36:29.210594700Z from ‎2025‎-‎10‎-‎02T11:36:29.210818500Z.","The system time has changed to ‎2025‎-‎10‎-‎02T11:36:29.210594700Z from ‎2025‎-‎10‎-‎02T11:36:29.210818500Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T07:36:29.210594700Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 8:12:35 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 8:12:35 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T12:12:35.801910400Z from ‎2025‎-‎10‎-‎02T12:12:35.801418300Z.","The system time has changed to ‎2025‎-‎10‎-‎02T12:12:35.801910400Z from ‎2025‎-‎10‎-‎02T12:12:35.801418300Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T08:12:35.801910400Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 8:12:36 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Lid."
"10/2/2025 8:12:36 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 102 to 103.","The system session has transitioned from 102 to 103.

Reason PolicyChange 

BootId: 23"
"10/2/2025 8:13:12 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 103 to 104.","The system session has transitioned from 103 to 104.

Reason SessionUnlock 

BootId: 23"
"10/2/2025 8:13:12 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"10/2/2025 8:31:44 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Keyboard."
"10/2/2025 8:31:44 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 104 to 106.","The system session has transitioned from 104 to 106.

Reason InputAccelerometer 

BootId: 23"
"10/2/2025 10:15:24 AM","8000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service started a connection to a wireless network.","WLAN AutoConfig service started a connection to a wireless network.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Connection Mode: Automatic connection with a profile
Profile Name: BluePhotonSecure
SSID: BluePhotonSecure
BSS Type: Infrastructure
"
"10/2/2025 10:15:24 AM","11000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association started.","Wireless network association started.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Local MAC Address: 24:B2:B9:5F:3C:8B
Network SSID: BluePhotonSecure
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
802.1X Enabled: No
"
"10/2/2025 10:15:24 AM","11001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association succeeded.","Wireless network association succeeded.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Local MAC Address: 24:B2:B9:5F:3C:8B
Network SSID: BluePhotonSecure
BSS Type: Infrastructure
Management Frame Protection Enabled: 0x900000000
"
"10/2/2025 10:15:24 AM","11010","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security started.","Wireless security started.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Local MAC Address: 24:B2:B9:5F:3C:8B
Network SSID: BluePhotonSecure
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
FIPS Mode: Disabled
802.1x Enabled: No
"
"10/2/2025 10:15:24 AM","11005","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security succeeded.","Wireless security succeeded.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Local MAC Address: 24:B2:B9:5F:3C:8B
Network SSID: BluePhotonSecure
BSS Type: Infrastructure
"
"10/2/2025 10:15:24 AM","8001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service has successfully connected to a wireless network.","WLAN AutoConfig service has successfully connected to a wireless network.

Network Adapter: Realtek RTL8852BE WiFi 6 802.11ax PCIe Adapter
Interface GUID: {1a40731b-9ecb-40b4-be67-6418d4951693}
Connection Mode: Automatic connection with a profile
Profile Name: BluePhotonSecure
SSID: BluePhotonSecure
BSS Type: Infrastructure
PHY Type: 802.11ac
Authentication: WPA2-Personal
Encryption: AES-CCMP
802.1x Enabled: No
Hidden: false
"
"10/2/2025 11:10:01 AM","8000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service started a connection to a wireless network.","WLAN AutoConfig service started a connection to a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
"
"10/2/2025 11:10:01 AM","11000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association started.","Wireless network association started.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
802.1X Enabled: No
"
"10/2/2025 11:10:02 AM","11001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association succeeded.","Wireless network association succeeded.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Management Frame Protection Enabled: 0x1200000000
"
"10/2/2025 11:10:02 AM","11010","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security started.","Wireless security started.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
FIPS Mode: Disabled
802.1x Enabled: No
"
"10/2/2025 11:10:02 AM","11005","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security succeeded.","Wireless security succeeded.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
"
"10/2/2025 11:10:02 AM","8001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service has successfully connected to a wireless network.","WLAN AutoConfig service has successfully connected to a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
PHY Type: 802.11ac
Authentication: WPA2-Personal
Encryption: AES-CCMP
802.1x Enabled: No
Hidden: true
"
"10/2/2025 11:10:07 AM","11004","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security stopped.","Wireless security stopped.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Security Hint: The operation was successful.
"
"10/2/2025 11:10:07 AM","8003","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service has successfully disconnected from a wireless network.","WLAN AutoConfig service has successfully disconnected from a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Reason: The network is disconnected due WFD Client Disconnect request.
"
"10/2/2025 11:10:09 AM","8000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service started a connection to a wireless network.","WLAN AutoConfig service started a connection to a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
"
"10/2/2025 11:10:09 AM","11000","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association started.","Wireless network association started.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
802.1X Enabled: No
"
"10/2/2025 11:10:10 AM","11001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless network association succeeded.","Wireless network association succeeded.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Management Frame Protection Enabled: 0x1300000000
"
"10/2/2025 11:10:10 AM","11010","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security started.","Wireless security started.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Authentication: WPA2-Personal
Encryption: AES-GCMP-128
FIPS Mode: Disabled
802.1x Enabled: No
"
"10/2/2025 11:10:10 AM","11005","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security succeeded.","Wireless security succeeded.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
"
"10/2/2025 11:10:10 AM","8001","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service has successfully connected to a wireless network.","WLAN AutoConfig service has successfully connected to a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
PHY Type: 802.11ac
Authentication: WPA2-Personal
Encryption: AES-CCMP
802.1x Enabled: No
Hidden: true
"
"10/2/2025 11:10:13 AM","11004","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","Wireless security stopped.","Wireless security stopped.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Local MAC Address: 2A:B2:B9:5F:3C:8B
Network SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Security Hint: The operation was successful.
"
"10/2/2025 11:10:14 AM","8003","Microsoft-Windows-WLAN-AutoConfig","Wi-Fi SSID change","WLAN AutoConfig service has successfully disconnected from a wireless network.","WLAN AutoConfig service has successfully disconnected from a wireless network.

Network Adapter: Microsoft Wi-Fi Direct Virtual Adapter #2
Interface GUID: {936cf83e-c0c1-40bf-a442-011cc2d8f2f8}
Connection Mode: Connection with a temporary profile
Profile Name: WFD Client Profile
SSID: DIRECT-90-HP OfficeJet Pro 8130e
BSS Type: Infrastructure
Reason: The network is disconnected due WFD Client Disconnect request.
"
